link,economia,educação,saúde,segurança,cultura,meio ambiente,religião,vacina,desinformação,desarmamento,eleição,politica,corrupção
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/10/16/para-eleitores-bolsonaro-e-quem-mais-defende-os-ricos-e-haddad-os-pobres.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,1,0,0,0,0,0,0,0,0,0,1,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/10/27/deputados-democratas-pedem-posicao-de-governo-dos-eua-contra-bolsonaro.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,0,0,0,0,0,0,0,0,1,0,1,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/28/analise-bolsonaro-faz-propaganda-religiosa-em-primeiro-discurso-eleito.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,0,0,0,0,1,0,1,0,0,0,1,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/reuters/2018/10/25/haddad-diz-que-exterior-reconhece-riscos-que-brasil-corre-com-bolsonaro.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,0,0,0,0,1,0,0,0,1,0,1,1,0
https://bbc.com/portuguese/brasil-45761506?ocid=socialflow_twitter,1,1,1,1,1,0,0,1,0,0,0,0,0
https://catracalivre.com.br/cidadania/pai-de-jovem-estuprada-e-morta-se-posiciona-contra-jair-bolsonaro/,0,0,0,1,0,0,0,0,0,0,0,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/10/haddad-significa-esperanca-de-o-brasil-voltar-a-crescer-diz-zeca-dirceu.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,0,0,0,0,0,0,0,0,0,0,1,1,1
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/10/mourao-sugere-e-bolsonaro-diz-que-vai-criar-o-13-do-bolsa-familia.htm,1,0,1,0,0,0,0,0,0,0,0,0,0
http://poder360.com.br/eleicoes/bolsonaro-diz-que-pode-faltar-a-debates-por-estrategia/,0,0,1,0,0,0,0,0,0,0,1,1,0
https://oglobo.globo.com/fato-ou-fake/e-fake-que-haddad-acusado-de-estuprar-menina-de-11-anos-23192060?utm_source=twitterutm_medium=social,0,0,0,0,0,0,0,0,1,0,0,1,0
https://brasildefato.com.br/2018/10/03/bolsonaro-toma-lugar-do-psdb-e-polarizacao-com-pt-fica-mais-violenta/,0,0,0,0,0,0,0,0,0,0,1,1,0
https://brasildefato.com.br/2018/10/18/como-o-ensino-a-distancia-defendido-por-bolsonaro-prejudica-os-brasileiros/,0,1,0,0,1,0,0,0,0,0,0,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/28/analistas-classificam-como-desanimador-primeiro-discurso-de-bolsonaro.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,0,0,0,0,0,0,1,0,0,0,1,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/reuters/2018/10/24/rodrigo-maia-diz-que-sua-agenda-e-mais-convergente-com-a-de-bolsonaro.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,0,0,0,0,0,0,0,0,0,1,1,1,0
https://midianinja.org/news/estudantes-de-harvard-e-mit-lancam-video-em-apoio-a-haddad/,0,1,0,0,0,0,0,0,0,0,0,1,0
"https://terra.com.br/noticias/eleicoes/haddad-afirma-que-liberdade-religiosa-deve-ser-garantida,e008b06a4ee393261b3d4541fe03b4a39exrdoff.html",0,1,0,1,1,0,1,0,0,0,1,1,0
https://brasil247.com/pt/247/rs247/371687/pimenta-bolsonaro-representa-a-barb%c3%a1rie-e-o-caos.htm,1,0,0,1,0,0,0,0,1,0,1,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/10/28/moro-sauda-bolsonaro-e-sugere-reformas-por-integridade-da-administracao.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,1,0,0,0,0,0,0,0,0,0,1,1,0
"https://terra.com.br/noticias/brasil/politica/bolsonaro-forcas-armadas-vao-fazer-parte-da-politica,d26f62b3e866cfd9dd27a5eec5bb16d85glbf57z.html",1,1,0,1,0,1,0,0,0,0,0,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/10/15/haddad-defende-solucao-democratica-para-venezuela-e-critica-eua.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,1,1,1,1,1,0,0,0,0,0,1,1,0
"https://terra.com.br/noticias/brasil/cidades/manifestacao-contra-bolsonaro-termina-em-confronto-em-sao-paulo,c4675e6a192a27513fc733a4a7437662ygrlpta6.html",0,0,0,1,0,0,0,0,0,0,1,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/reuters/2018/10/06/outro-lado-acha-que-bolsonaro-derrete-se-tiver-que-debater-diz-haddad.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,1,0,1,1,1,0,0,0,0,0,1,1,0
"https://correiobraziliense.com.br/app/noticia/politica/2018/10/09/interna_politica,711123/bolsonaro-tem-plano-economico-que-brasil-precisa-diz-presidente-do-ch.shtml",1,0,0,0,0,0,0,0,0,0,1,1,0
https://brasil247.com/pt/247/brasil/373898/zanin-moro-ministro-de-bolsonaro-%c3%a9-%e2%80%9co-lawfare-na-sua-ess%c3%aancia%e2%80%9d.htm#.w9tkgmyj9u0.twitter,0,0,0,1,1,0,0,0,0,0,1,1,0
https://oglobo.globo.com/fato-ou-fake/e-fake-que-pf-apreendeu-van-com-urnas-eletronicas-alteradas-com-votos-para-haddad-23132435?utm_source=twitterutm_medium=social,0,0,0,0,0,0,0,0,1,0,1,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/18/proposta-de-bolsonaro-paes-endossa-e-witzel-diz-que-nao-se-aplica-no-pais.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,0,0,0,1,0,0,0,0,0,1,1,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/09/bolsonaro-volta-a-chamar-haddad-de-canalha-nas-redes-sociais.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,0,0,0,0,0,0,0,0,1,0,1,1,0
https://brasildefato.com.br/2018/10/08/conheca-as-principais-diferencas-entre-haddad-e-bolsonaro/,0,0,0,0,0,0,0,0,1,0,1,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/24/bolsonaro-crime-eleitoral-eleitores-pedir-voto-no-domingo.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,0,0,0,0,0,0,0,0,0,0,1,1,0
https://josiasdesouza.blogosfera.uol.com.br/2018/10/01/se-depender-de-lula-eleitorado-vota-no-escuro/?utm_medium=social-mediautm_content=geralutm_source=twitter,1,0,0,0,0,0,0,0,0,0,1,1,1
https://catracalivre.com.br/cidadania/bolsonaro-diz-que-questao-do-enem-sobre-travestis-e-doutrinacao/,0,1,0,0,1,0,0,0,0,0,0,1,0
"https://terra.com.br/noticias/eleicoes/filho-de-bolsonaro-afirma-em-video-que-para-fechar-stf-basta-um-soldado-e-um-cabo,2d725622ed334e0877d335ff91d9d15bxddy5fnv.html?we",0,0,0,1,0,0,0,0,1,0,0,1,0
https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/18/bolsonaro-nao-vai-participar-de-debates-nem-viajar-no-2-turno.htm?utm_source=twitterutm_medium=social-mediautm_campaign=noticias,0,0,1,0,0,0,0,0,0,0,1,1,0
